,ruido,frec_obs,periodo,n_seg,ok
0,0.1,1,1,20,False
1,0.1,1,31,20,True
2,0.1,1,61,20,True
3,0.1,1,91,20,True
4,0.1,1,121,20,True
5,0.1,1,151,20,True
6,0.1,1,181,20,True
7,0.1,1,211,20,True
8,0.1,1,241,20,True
9,0.1,1,271,20,True
10,0.1,1,301,20,True
11,0.1,1,331,20,True
12,0.1,8,1,20,False
13,0.1,8,31,20,True
14,0.1,8,61,20,True
15,0.1,8,91,20,True
16,0.1,8,121,20,True
17,0.1,8,151,20,True
18,0.1,8,181,20,True
19,0.1,8,211,20,True
20,0.1,8,241,20,True
21,0.1,8,271,20,True
22,0.1,8,301,20,True
23,0.1,8,331,20,True
24,0.1,15,1,20,False
25,0.1,15,31,20,True
26,0.1,15,61,20,True
27,0.1,15,91,20,True
28,0.1,15,121,20,True
29,0.1,15,151,20,True
30,0.1,15,181,20,True
31,0.1,15,211,20,True
32,0.1,15,241,20,True
33,0.1,15,271,20,True
34,0.1,15,301,20,True
35,0.1,15,331,20,True
36,0.1,22,1,20,False
37,0.1,22,31,20,False
38,0.1,22,61,20,False
39,0.1,22,91,20,True
40,0.1,22,121,20,True
41,0.1,22,151,20,True
42,0.1,22,181,20,True
43,0.1,22,211,20,True
44,0.1,22,241,20,True
45,0.1,22,271,20,True
46,0.1,22,301,20,True
47,0.1,22,331,20,True
48,0.1,29,31,20,False
49,0.1,29,61,20,True
50,0.1,29,91,20,True
51,0.1,29,121,20,True
52,0.1,29,151,20,True
53,0.1,29,181,20,True
54,0.1,29,211,20,True
55,0.1,29,241,20,True
56,0.1,29,271,20,True
57,0.1,29,301,20,True
58,0.1,29,331,20,True
59,0.2,1,1,20,False
60,0.2,1,31,20,True
61,0.2,1,61,20,True
62,0.2,1,91,20,True
63,0.2,1,121,20,True
64,0.2,1,151,20,True
65,0.2,1,181,20,True
66,0.2,1,211,20,True
67,0.2,1,241,20,True
68,0.2,1,271,20,True
69,0.2,1,301,20,True
70,0.2,1,331,20,True
71,0.2,8,1,20,False
72,0.2,8,31,20,True
73,0.2,8,61,20,True
74,0.2,8,91,20,True
75,0.2,8,121,20,True
76,0.2,8,151,20,True
77,0.2,8,181,20,True
78,0.2,8,211,20,True
79,0.2,8,241,20,True
80,0.2,8,271,20,True
81,0.2,8,301,20,True
82,0.2,8,331,20,True
83,0.2,15,1,20,False
84,0.2,15,31,20,False
85,0.2,15,61,20,True
86,0.2,15,91,20,True
87,0.2,15,121,20,True
88,0.2,15,151,20,True
89,0.2,15,181,20,True
90,0.2,15,211,20,True
91,0.2,15,241,20,True
92,0.2,15,271,20,True
93,0.2,15,301,20,True
94,0.2,15,331,20,True
95,0.2,22,1,20,False
96,0.2,22,31,20,False
97,0.2,22,61,20,False
98,0.2,22,91,20,True
99,0.2,22,121,20,True
100,0.2,22,151,20,True
101,0.2,22,181,20,True
102,0.2,22,211,20,True
103,0.2,22,241,20,True
104,0.2,22,271,20,True
105,0.2,22,301,20,True
106,0.2,22,331,20,True
107,0.2,29,31,20,False
108,0.2,29,61,20,False
109,0.2,29,91,20,False
110,0.2,29,121,20,True
111,0.2,29,151,20,True
112,0.2,29,181,20,True
113,0.2,29,211,20,True
114,0.2,29,241,20,True
115,0.2,29,271,20,True
116,0.2,29,301,20,True
117,0.2,29,331,20,True
118,0.30000000000000004,1,1,20,False
119,0.30000000000000004,1,31,20,True
120,0.30000000000000004,1,61,20,True
121,0.30000000000000004,1,91,20,True
122,0.30000000000000004,1,121,20,True
123,0.30000000000000004,1,151,20,True
124,0.30000000000000004,1,181,20,True
125,0.30000000000000004,1,211,20,True
126,0.30000000000000004,1,241,20,True
127,0.30000000000000004,1,271,20,True
128,0.30000000000000004,1,301,20,True
129,0.30000000000000004,1,331,20,True
130,0.30000000000000004,8,1,20,False
131,0.30000000000000004,8,31,20,True
132,0.30000000000000004,8,61,20,True
133,0.30000000000000004,8,91,20,True
134,0.30000000000000004,8,121,20,True
135,0.30000000000000004,8,151,20,True
136,0.30000000000000004,8,181,20,True
137,0.30000000000000004,8,211,20,True
138,0.30000000000000004,8,241,20,True
139,0.30000000000000004,8,271,20,True
140,0.30000000000000004,8,301,20,True
141,0.30000000000000004,8,331,20,True
142,0.30000000000000004,15,1,20,False
143,0.30000000000000004,15,31,20,True
144,0.30000000000000004,15,61,20,True
145,0.30000000000000004,15,91,20,True
146,0.30000000000000004,15,121,20,False
147,0.30000000000000004,15,151,20,True
148,0.30000000000000004,15,181,20,True
149,0.30000000000000004,15,211,20,True
150,0.30000000000000004,15,241,20,True
151,0.30000000000000004,15,271,20,True
152,0.30000000000000004,15,301,20,True
153,0.30000000000000004,15,331,20,True
154,0.30000000000000004,22,1,20,False
155,0.30000000000000004,22,31,20,False
156,0.30000000000000004,22,61,20,False
157,0.30000000000000004,22,91,20,True
158,0.30000000000000004,22,121,20,False
159,0.30000000000000004,22,151,20,True
160,0.30000000000000004,22,181,20,True
161,0.30000000000000004,22,211,20,True
162,0.30000000000000004,22,241,20,True
163,0.30000000000000004,22,271,20,True
164,0.30000000000000004,22,301,20,True
165,0.30000000000000004,22,331,20,True
166,0.30000000000000004,29,31,20,False
167,0.30000000000000004,29,61,20,True
168,0.30000000000000004,29,91,20,False
169,0.30000000000000004,29,121,20,True
170,0.30000000000000004,29,151,20,True
171,0.30000000000000004,29,181,20,False
172,0.30000000000000004,29,211,20,True
173,0.30000000000000004,29,241,20,True
174,0.30000000000000004,29,271,20,True
175,0.30000000000000004,29,301,20,True
176,0.30000000000000004,29,331,20,True
177,0.4,1,1,20,False
178,0.4,1,31,20,True
179,0.4,1,61,20,True
180,0.4,1,91,20,True
181,0.4,1,121,20,False
182,0.4,1,151,20,True
183,0.4,1,181,20,True
184,0.4,1,211,20,False
185,0.4,1,241,20,True
186,0.4,1,271,20,True
187,0.4,1,301,20,True
188,0.4,1,331,20,False
189,0.4,8,1,20,False
190,0.4,8,31,20,True
191,0.4,8,61,20,True
192,0.4,8,91,20,True
193,0.4,8,121,20,True
194,0.4,8,151,20,True
195,0.4,8,181,20,True
196,0.4,8,211,20,True
197,0.4,8,241,20,True
198,0.4,8,271,20,True
199,0.4,8,301,20,True
200,0.4,8,331,20,True
201,0.4,15,1,20,False
202,0.4,15,31,20,False
203,0.4,15,61,20,True
204,0.4,15,91,20,True
205,0.4,15,121,20,True
206,0.4,15,151,20,True
207,0.4,15,181,20,True
208,0.4,15,211,20,True
209,0.4,15,241,20,True
210,0.4,15,271,20,True
211,0.4,15,301,20,True
212,0.4,15,331,20,True
213,0.4,22,1,20,False
214,0.4,22,31,20,False
215,0.4,22,61,20,False
216,0.4,22,91,20,True
217,0.4,22,121,20,True
218,0.4,22,151,20,True
219,0.4,22,181,20,True
220,0.4,22,211,20,True
221,0.4,22,241,20,True
222,0.4,22,271,20,True
223,0.4,22,301,20,True
224,0.4,22,331,20,True
225,0.4,29,31,20,False
226,0.4,29,61,20,True
227,0.4,29,91,20,True
228,0.4,29,121,20,True
229,0.4,29,151,20,True
230,0.4,29,181,20,True
231,0.4,29,211,20,True
232,0.4,29,241,20,True
233,0.4,29,271,20,True
234,0.4,29,301,20,True
235,0.4,29,331,20,True
236,0.5,1,1,20,False
237,0.5,1,31,20,True
238,0.5,1,61,20,True
239,0.5,1,91,20,True
240,0.5,1,121,20,True
241,0.5,1,151,20,True
242,0.5,1,181,20,True
243,0.5,1,211,20,True
244,0.5,1,241,20,True
245,0.5,1,271,20,True
246,0.5,1,301,20,True
247,0.5,1,331,20,True
248,0.5,8,1,20,False
249,0.5,8,31,20,True
250,0.5,8,61,20,True
251,0.5,8,91,20,True
252,0.5,8,121,20,False
253,0.5,8,151,20,True
254,0.5,8,181,20,True
255,0.5,8,211,20,True
256,0.5,8,241,20,True
257,0.5,8,271,20,True
258,0.5,8,301,20,False
259,0.5,8,331,20,True
260,0.5,15,1,20,False
261,0.5,15,31,20,True
262,0.5,15,61,20,True
263,0.5,15,91,20,True
264,0.5,15,121,20,True
265,0.5,15,151,20,True
266,0.5,15,181,20,True
267,0.5,15,211,20,True
268,0.5,15,241,20,True
269,0.5,15,271,20,True
270,0.5,15,301,20,True
271,0.5,15,331,20,True
272,0.5,22,1,20,False
273,0.5,22,31,20,False
274,0.5,22,61,20,False
275,0.5,22,91,20,True
276,0.5,22,121,20,True
277,0.5,22,151,20,True
278,0.5,22,181,20,True
279,0.5,22,211,20,True
280,0.5,22,241,20,True
281,0.5,22,271,20,True
282,0.5,22,301,20,True
283,0.5,22,331,20,True
284,0.5,29,31,20,False
285,0.5,29,61,20,True
286,0.5,29,91,20,True
287,0.5,29,121,20,True
288,0.5,29,151,20,True
289,0.5,29,181,20,True
290,0.5,29,211,20,True
291,0.5,29,241,20,True
292,0.5,29,271,20,True
293,0.5,29,301,20,True
294,0.5,29,331,20,True
295,0.6,1,1,20,False
296,0.6,1,31,20,True
297,0.6,1,61,20,True
298,0.6,1,91,20,True
299,0.6,1,121,20,True
300,0.6,1,151,20,True
301,0.6,1,181,20,True
302,0.6,1,211,20,True
303,0.6,1,241,20,True
304,0.6,1,271,20,True
305,0.6,1,301,20,True
306,0.6,1,331,20,True
307,0.6,8,1,20,False
308,0.6,8,31,20,True
309,0.6,8,61,20,True
310,0.6,8,91,20,True
311,0.6,8,121,20,True
312,0.6,8,151,20,True
313,0.6,8,181,20,True
314,0.6,8,211,20,True
315,0.6,8,241,20,True
316,0.6,8,271,20,True
317,0.6,8,301,20,True
318,0.6,8,331,20,True
319,0.6,15,1,20,False
320,0.6,15,31,20,False
321,0.6,15,61,20,True
322,0.6,15,91,20,False
323,0.6,15,121,20,True
324,0.6,15,151,20,False
325,0.6,15,181,20,True
326,0.6,15,211,20,True
327,0.6,15,241,20,True
328,0.6,15,271,20,True
329,0.6,15,301,20,True
330,0.6,15,331,20,True
331,0.6,22,1,20,True
332,0.6,22,31,20,False
333,0.6,22,61,20,False
334,0.6,22,91,20,True
335,0.6,22,121,20,True
336,0.6,22,151,20,True
337,0.6,22,181,20,True
338,0.6,22,211,20,True
339,0.6,22,241,20,True
340,0.6,22,271,20,True
341,0.6,22,301,20,False
342,0.6,22,331,20,True
343,0.6,29,31,20,False
344,0.6,29,61,20,False
345,0.6,29,91,20,True
346,0.6,29,121,20,True
347,0.6,29,151,20,False
348,0.6,29,181,20,True
349,0.6,29,211,20,True
350,0.6,29,241,20,True
351,0.6,29,271,20,True
352,0.6,29,301,20,True
353,0.6,29,331,20,True
354,0.7000000000000001,1,1,20,False
355,0.7000000000000001,1,31,20,True
356,0.7000000000000001,1,61,20,True
357,0.7000000000000001,1,91,20,True
358,0.7000000000000001,1,121,20,True
359,0.7000000000000001,1,151,20,True
360,0.7000000000000001,1,181,20,True
361,0.7000000000000001,1,211,20,True
362,0.7000000000000001,1,241,20,True
363,0.7000000000000001,1,271,20,True
364,0.7000000000000001,1,301,20,True
365,0.7000000000000001,1,331,20,True
366,0.7000000000000001,8,1,20,False
367,0.7000000000000001,8,31,20,False
368,0.7000000000000001,8,61,20,True
369,0.7000000000000001,8,91,20,True
370,0.7000000000000001,8,121,20,True
371,0.7000000000000001,8,151,20,True
372,0.7000000000000001,8,181,20,True
373,0.7000000000000001,8,211,20,True
374,0.7000000000000001,8,241,20,True
375,0.7000000000000001,8,271,20,True
376,0.7000000000000001,8,301,20,True
377,0.7000000000000001,8,331,20,True
378,0.7000000000000001,15,1,20,False
379,0.7000000000000001,15,31,20,False
380,0.7000000000000001,15,61,20,True
381,0.7000000000000001,15,91,20,False
382,0.7000000000000001,15,121,20,True
383,0.7000000000000001,15,151,20,True
384,0.7000000000000001,15,181,20,False
385,0.7000000000000001,15,211,20,True
386,0.7000000000000001,15,241,20,True
387,0.7000000000000001,15,271,20,True
388,0.7000000000000001,15,301,20,True
