ruido,frec_obs,periodo,n_seg,n_meses,n_eval,ok_rate_pct
0.0,7,30,20,3,5,100.0
0.0,7,30,20,6,5,100.0
0.0,7,60,20,3,5,100.0
0.0,7,60,20,6,5,100.0
0.0,14,30,20,3,5,100.0
0.0,14,30,20,6,5,100.0
0.0,14,60,20,3,5,80.0
0.0,14,60,20,6,5,100.0
0.25,7,30,20,3,5,100.0
0.25,7,30,20,6,5,100.0
0.25,7,60,20,3,5,100.0
0.25,7,60,20,6,5,100.0
0.25,14,30,20,3,5,100.0
0.25,14,30,20,6,5,100.0
0.25,14,60,20,3,5,100.0
0.25,14,60,20,6,5,100.0
0.5,7,30,20,3,5,100.0
0.5,7,30,20,6,5,100.0
0.5,7,60,20,3,5,100.0
0.5,7,60,20,6,5,100.0
0.5,14,30,20,3,5,100.0
0.5,14,30,20,6,5,100.0
0.5,14,60,20,3,5,100.0
0.5,14,60,20,6,5,100.0
