ruido,frec_obs,periodo,n_seg,n_meses,target_id,ok
0.0,7,30,20,3,100_050_02,False
0.0,7,30,20,3,100_050_09,False
0.0,7,30,20,3,100_050_03,False
0.0,7,30,20,3,100_050_14,False
0.0,7,30,20,3,100_050_19,False
0.0,7,30,20,3,100_050_20,False
0.0,7,30,20,3,100_050_17,False
0.0,7,30,20,3,100_050_01,False
0.0,7,30,20,3,100_050_07,False
0.0,7,30,20,3,100_050_16,False
0.0,7,30,20,6,100_050_02,False
0.0,7,30,20,6,100_050_09,False
0.0,7,30,20,6,100_050_03,False
0.0,7,30,20,6,100_050_14,False
0.0,7,30,20,6,100_050_19,False
0.0,7,30,20,6,100_050_20,False
0.0,7,30,20,6,100_050_17,False
0.0,7,30,20,6,100_050_01,False
0.0,7,30,20,6,100_050_07,False
0.0,7,30,20,6,100_050_16,False
0.0,7,30,20,9,100_050_02,False
0.0,7,30,20,9,100_050_09,False
0.0,7,30,20,9,100_050_03,False
0.0,7,30,20,9,100_050_14,False
0.0,7,30,20,9,100_050_19,False
0.0,7,30,20,9,100_050_20,False
0.0,7,30,20,9,100_050_17,False
0.0,7,30,20,9,100_050_01,False
0.0,7,30,20,9,100_050_07,False
0.0,7,30,20,9,100_050_16,False
0.0,7,30,20,12,100_050_02,False
0.0,7,30,20,12,100_050_09,False
0.0,7,30,20,12,100_050_03,False
0.0,7,30,20,12,100_050_14,False
0.0,7,30,20,12,100_050_19,False
0.0,7,30,20,12,100_050_20,False
0.0,7,30,20,12,100_050_17,False
0.0,7,30,20,12,100_050_01,False
0.0,7,30,20,12,100_050_07,False
0.0,7,30,20,12,100_050_16,False
0.0,14,30,20,3,100_050_02,False
0.0,14,30,20,3,100_050_09,False
0.0,14,30,20,3,100_050_03,False
0.0,14,30,20,3,100_050_14,False
0.0,14,30,20,3,100_050_19,False
0.0,14,30,20,3,100_050_20,False
0.0,14,30,20,3,100_050_17,False
0.0,14,30,20,3,100_050_01,False
0.0,14,30,20,3,100_050_07,False
0.0,14,30,20,3,100_050_16,False
0.0,14,30,20,6,100_050_02,False
0.0,14,30,20,6,100_050_09,False
0.0,14,30,20,6,100_050_03,False
0.0,14,30,20,6,100_050_14,False
0.0,14,30,20,6,100_050_19,False
0.0,14,30,20,6,100_050_20,False
0.0,14,30,20,6,100_050_17,False
0.0,14,30,20,6,100_050_01,False
0.0,14,30,20,6,100_050_07,False
0.0,14,30,20,6,100_050_16,False
0.0,14,30,20,9,100_050_02,False
0.0,14,30,20,9,100_050_09,False
0.0,14,30,20,9,100_050_03,False
0.0,14,30,20,9,100_050_14,False
0.0,14,30,20,9,100_050_19,False
0.0,14,30,20,9,100_050_20,False
0.0,14,30,20,9,100_050_17,False
0.0,14,30,20,9,100_050_01,False
0.0,14,30,20,9,100_050_07,False
0.0,14,30,20,9,100_050_16,False
0.0,14,30,20,12,100_050_02,False
0.0,14,30,20,12,100_050_09,False
