ruido,frec_obs,periodo,n_seg,n_meses,ok
0.0,7,30,20,3,0.0
0.0,7,30,20,6,0.5
0.0,7,30,20,9,0.4
0.0,7,30,20,12,0.5
0.0,14,30,20,3,0.3
0.0,14,30,20,6,0.2
0.0,14,30,20,9,0.5
0.0,14,30,20,12,0.6
0.0,21,30,20,3,0.4
0.0,21,30,20,6,0.6
0.0,21,30,20,9,0.5
0.0,21,30,20,12,0.5
0.0,28,30,20,3,0.3
0.0,28,30,20,6,0.4
0.0,28,30,20,9,0.3
0.0,28,30,20,12,0.9
0.1,7,30,20,3,0.4
0.1,7,30,20,6,0.2
0.1,7,30,20,9,0.5
0.1,7,30,20,12,0.2
0.1,14,30,20,3,0.0
0.1,14,30,20,6,0.1
0.1,14,30,20,9,0.3
0.1,14,30,20,12,0.1
0.1,21,30,20,3,0.5
0.1,21,30,20,6,0.0
0.1,21,30,20,9,0.1
0.1,21,30,20,12,0.4
0.1,28,30,20,3,0.3
0.1,28,30,20,6,0.0
0.1,28,30,20,9,0.1
0.1,28,30,20,12,0.2
0.2,7,30,20,3,0.4
0.2,7,30,20,6,0.5
0.2,7,30,20,9,0.3
0.2,7,30,20,12,0.0
0.2,14,30,20,3,0.1
0.2,14,30,20,6,0.0
0.2,14,30,20,9,0.3
0.2,14,30,20,12,0.6
0.2,21,30,20,3,0.0
0.2,21,30,20,6,0.2
0.2,21,30,20,9,0.0
0.2,21,30,20,12,0.1
0.2,28,30,20,3,0.1
0.2,28,30,20,6,0.0
0.2,28,30,20,9,0.0
0.2,28,30,20,12,0.2
